,ID,name,name:en,landuse,addr:province,addr:city,addr:district,description,type,total,brownfield,commercial,construction,farmland,forest,grass,industrial,residential,retail,NTL,Over illumination,Tresspass,Clutter,geometry,brownfield_mean_distance,brownfield_mean_NTL,commercial_mean_distance,commercial_mean_NTL,construction_mean_distance,construction_mean_NTL,farmland_mean_distance,farmland_mean_NTL,forest_mean_distance,forest_mean_NTL,grass_mean_distance,grass_mean_NTL,industrial_mean_distance,industrial_mean_NTL,residential_mean_distance,residential_mean_NTL,retail_mean_distance,retail_mean_NTL,Over_illumination,centroid
0,0,胜坚尚城美居 大门,,residential,广东省,江门市,蓬江区,,,45.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,35.0,0.0,21.74499893188477,1224.669921875,0.1938218829271523,0.0018472400531484,POINT (113.0926213 22.607811),,,2073.0219079779117,25.6950005,,,506.6425420612704,20.145,,,1847.8659826649753,29.404999,,,1380.7115344374174,27.32557128571429,,,1224.669991,POINT (113.0926213 22.607811)
1,1,春晖阁,,residential,,,,,,31.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,21.0,0.0,22.74499893188477,842.27001953125,0.0865408489448344,0.0016163662606069,"POLYGON ((113.0675152 22.5840145, 113.0679851 22.5834546, 113.0688566 22.5843266, 113.069322 22.5839203, 113.068671 22.5832936, 113.0687287 22.5832473, 113.0699205 22.584412, 113.0691675 22.5850666, 113.0687126 22.5846105, 113.0683986 22.5848889, 113.0675152 22.5840145))",,,2504.874131638816,31.049999999999997,711.1353997186105,20.93,,,,,2330.129345670363,29.404999,,,2095.7571089860107,26.265714000000003,,,842.2699880000001,POINT (113.06869572080743 22.58428373061638)
2,2,山湖雅苑,,residential,,,,,,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,12.860000610351562,83.82499694824219,0.0064507005233162,0.0009895287556679,"POLYGON ((113.0380845 22.5863951, 113.0371909 22.5851099, 113.0380072 22.5846815, 113.037947 22.5841023, 113.038454 22.5838802, 113.0394937 22.5840865, 113.0414012 22.5851496, 113.0419082 22.5854193, 113.0427846 22.5864189, 113.0436171 22.5870963, 113.0439374 22.5875258, 113.0439048 22.5879307, 113.0415731 22.5886879, 113.0414528 22.587728, 113.0408341 22.5871964, 113.0401639 22.5871171, 113.0396397 22.5867759, 113.0393562 22.5862682, 113.0388836 22.586054, 113.0380845 22.5863951))",,,2566.2152923376975,5.865,,,,,,,1873.4899729195781,10.924999,,,1933.948177511119,20.24666666666667,,,83.824999,POINT (113.04061246502903 22.586139690301295)
3,3,阳光棕榈园,,residential,,,,,,102.0,0.0,11.0,20.0,1.0,0.0,0.0,9.0,59.0,2.0,17.59000015258789,1900.0352783203125,0.2859526560214488,0.0016197894663613,"POLYGON ((113.2016726 22.8680017, 113.2016015 22.8679459, 113.2015907 22.8664581, 113.2017088 22.8663395, 113.2034361 22.8663296, 113.2038352 22.8666452, 113.2038502 22.8678342, 113.2037199 22.8680099, 113.2016726 22.8680017))",,,2124.825140311383,20.050454363636366,2526.1761008982303,14.926750050000004,1055.2630706739728,20.82,,,,,2380.1503117621896,15.564444333333332,1413.4608500898196,19.787627152542377,1610.308933424902,26.2875,1900.0350000000003,POINT (113.20270375876503 22.86718158011128)
4,4,文华花园,,residential,,,,,,71.0,0.0,4.0,20.0,0.0,1.0,0.0,8.0,34.0,3.0,18.059999465942383,1084.5699462890625,0.1984773639813343,0.0016408209266382,"POLYGON ((113.078583 22.8727386, 113.0754941 22.8739318, 113.0743077 22.8713246, 113.0756964 22.8707881, 113.0759231 22.871286, 113.076817 22.8709405, 113.0769096 22.8711439, 113.0777156 22.8708325, 113.078583 22.8727386))",,,1954.2600928547513,13.4087505,1721.3532004149492,14.142499865,,,875.3719129663739,23.01,,,1990.2416105996756,14.6125,1385.5380340140277,15.721764529411768,530.5223144315715,21.744998999999996,1084.5699903,POINT (113.07640046752525 22.87221720573134)
5,5,锦城花园,,residential,,,,,,149.0,0.0,4.0,14.0,16.0,0.0,1.0,1.0,107.0,3.0,25.395000457763672,3544.7099609375,0.5071279998134501,0.0020349560675816,"POLYGON ((113.2597732 22.8402481, 113.2596874 22.8400998, 113.2596831 22.8385445, 113.2608477 22.8385257, 113.2608461 22.8402679, 113.2597732 22.8402481))",,,1615.1199163045876,21.9475,2064.2333117070207,22.996071357142856,2191.4303713016925,11.6931255625,,,3106.8340101485155,11.879999,2539.2618938462447,12.610001,1714.7495660673342,26.02308400934579,2022.3176498121004,31.994999000000004,3544.709994,POINT (113.26027016931509 22.839392852773422)
6,6,康格斯,,residential,,,,,,123.0,0.0,17.0,38.0,1.0,0.0,0.0,11.0,40.0,1.0,19.15999984741211,2229.60009765625,0.3211963544381125,0.0012675494172811,"POLYGON ((113.2279516 22.8408915, 113.2285953 22.8408915, 113.2304085 22.839092, 113.2310168 22.8387677, 113.2318966 22.8385502, 113.2322217 22.8353346, 113.2315028 22.8352357, 113.2316316 22.8344645, 113.2292605 22.8339206, 113.2267575 22.835475, 113.2269291 22.8357717, 113.2269216 22.8359378, 113.226471 22.8365311, 113.2261996 22.8372153, 113.2261813 22.8379055, 113.2264388 22.8387756, 113.2267253 22.8391929, 113.2276083 22.8395963, 113.2278196 22.8399641, 113.2279516 22.8408915))",,,2221.5534655194206,17.949411588235296,2090.6702851816826,17.284079,3352.6024049668563,14.705,,,,,1577.7224387550814,14.947727181818182,2012.6284302937681,21.90637485,433.5742227873977,18.305,2229.599994,POINT (113.22919294642638 22.83713000115958)
7,7,碧桂园·豪庭,,residential,,,,,,83.0,0.0,9.0,22.0,0.0,1.0,0.0,8.0,33.0,10.0,19.71500015258789,1455.8299560546875,0.226861615674778,0.0016206551755771,"POLYGON ((113.0625975 22.8725787, 113.064106 22.8719248, 113.0641972 22.8716233, 113.0633649 22.8698232, 113.0599719 22.8712336, 113.0606092 22.8725436, 113.0622851 22.8718597, 113.0625975 22.8725787))",,,1848.2448956450291,20.523334000000002,2127.748996108963,15.715681727272726,,,809.7189689964039,23.01,,,2104.2746661444394,16.509375125,1392.4671942218988,16.88348478787879,1972.1700851981186,21.3134997,1455.83,POINT (113.0622497254252 22.8713277296258)
8,8,雍翠华府,,residential,,,,,,91.0,0.0,11.0,27.0,0.0,1.0,0.0,8.0,35.0,9.0,13.594999313354492,1586.7099609375,0.235970140737701,0.0015636914461898,"POLYGON ((113.0622982 22.8775593, 113.0621855 22.8774407, 113.0621963 22.8767339, 113.0624943 22.8762713, 113.0636476 22.8757672, 113.0637702 22.8758512, 113.0636929 22.8775099, 113.0636017 22.8775988, 113.0622982 22.8775593))",,,1608.3388969702098,19.24272781818182,2278.5199048722898,15.86648137037037,,,888.4255439873931,23.01,,,2165.204200467203,16.509375125,1366.2862563909769,16.873285657142862,1699.27312324774,22.332777444444446,1586.7099990000002,POINT (113.06303787871327 22.876808080571514)
9,9,上城 骏园,,residential,,,,,,18.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,13.0,0.0,30.520000457763672,428.1300048828125,0.0503524910739267,0.0026735105675082,"POLYGON ((113.0830132 22.6277252, 113.0829445 22.6254911, 113.0830621 22.6253915, 113.0861934 22.6252999, 113.0863123 22.6254939, 113.0863824 22.6276755, 113.0861074 22.6277913, 113.0832213 22.627817, 113.0830132 22.6277252))",,,961.6507179068243,20.310001,,,2550.228119077697,20.145,2454.691142866911,26.82,,,,,2096.515232032754,24.13269215384615,,,428.13,POINT (113.08466800079894 22.62657365008393)
