,geometry,barrier,addr:city,amenity,name,operator,wheelchair,source,foot,created_by,bicycle,motor_vehicle,access,opening_hours,opening_hours:covid19,man_made,surveillance,survey:date,addr:postcode,operator:wikidata,ref,operator:wikipedia,natural,addr:housenumber,kerb,addr:country,addr:street,wikidata,wikipedia,note,material,level,check_date,parking,landuse,website,leisure,leaf_type,description,tourism,fee,addr:housename,emergency,artist_name,historic,start_date,opening_hours:signed,end_date,traffic_calming,shop,railway,recycling_type,fixme,artwork_type,covered,height,residential,noname,indoor,capacity,lit,military,name:ru,alt_name,surface,name:en,wikimedia_commons,power,phone,government,office,private,industrial,access:conditional,colour,nodes,place,internet_access,name:es,name:it,operator:type,source:heritage,dog,heritage,heritage:operator,mhs:inscription_date,name:da,name:et,name:tr,name:zh,ref:mhs,short_name,tourism:visitors,denomination,name:he,religion,website:image,wall,layer,url,water,disused:amenity,old_name,source:name,width,name:etymology:wikidata,leaf_cycle,internet_access:fee,internet_access:operator,name:etymology:wikipedia,source:internet_access,healthcare,healthcare:speciality,ref:FR:FINESS,type:FR:FINESS,sport,produce,trees,air_conditioning,architect,building,building:level:0,building:level:1,building:level:2,building:level:3,building:levels,stroller,roof:material,roof:shape,year_of_construction,boat,name:fr,name:ko,name:ar,name:de,name:el,disused:landuse,guest_house,note:fr,official_name,email,drinking_water,construction,crop,ref:FR:FANTOIR,picture,ref:UAI,school:FR,source:landuse,building:height,gated_community,roof:height,community,contact:phone,community:en,community:gender,garden:style,reservoir,contact:website,ref:FR:RTE,ref:FR:RTE_nom,substation,voltage,embankment,CLC:code,CLC:id,CLC:year,fax,fence_type,contact:housenumber,contact:street,product,contact:postcode,garden:type,plant:method,plant:output:electricity,plant:output:steam,plant:source,ref:EU:ENTSOE_EIC,ref:FR:DREAL,ref:FR:SINOE,ref:FR:SIRET,phone:2,quantity,construction:railway,area,opening_date,source:ref:UAI,contact:city,substance,room,comment,plant:output:hot_water,bridge:structure,phone:FR,contact:email,facebook,community:fr,golf,contact:facebook,owner,power_supply,location,chess,max_age,url_fiche,landcover,user,building:levels:underground,alt_name_1,construction:leisure,cadastre,building:part,construction:highway,source:position,polling_station,ways,type,name:ja,service,depot,population,name:ca,name:cs,site,centroid,NTL,total,brownfield,commercial,farmland,forest,grass,retail,brownfield_mean_distance,brownfield_mean_NTL,commercial_mean_distance,commercial_mean_NTL,construction_mean_distance,construction_mean_NTL,farmland_mean_distance,farmland_mean_NTL,forest_mean_distance,forest_mean_NTL,grass_mean_distance,grass_mean_NTL,industrial_mean_distance,industrial_mean_NTL,residential_mean_distance,residential_mean_NTL,retail_mean_distance,retail_mean_NTL,Over_illumination,Trespass,Clutter
0,POINT (2.3034997 48.8187182),,,,,,,cadastre-dgi-fr source : Direction Generale des Impots - Cadastre. Mise a jour : 2014,,,,,,,,,,,,,,,,1bis,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2.3034997 48.8187182),52.565,741.0,6.0,1.0,0.0,17.0,535.0,0.0,2713.9971329335553,51.230831146240234,2776.2482420780466,55.08000183105469,1906.895251845725,52.55368423461914,,,1459.1357829118879,54.089115142822266,1515.0955363862474,55.460693359375,2086.9434376180784,59.777496337890625,1573.387517929024,53.9849967956543,,,40370.98046875,6.269746612683109,0.003324144215833581
1,POINT (2.3036508 48.8186837),,,,,,,cadastre-dgi-fr source : Direction Generale des Impots - Cadastre. Mise a jour : 2014,,,,,,,,,,,,,,,,5,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2.3036508 48.8186837),52.565,738.0,7.0,1.0,0.0,16.0,534.0,0.0,2601.6251984537257,53.892147064208984,2776.2166107979015,55.08000183105469,1903.007625882561,52.55368423461914,,,1424.9635137822647,54.61437225341797,1509.2549354727907,55.56049728393555,2081.926765066323,59.777496337890625,1571.910092844362,53.9849967956543,,,40287.1484375,6.287956101500134,0.0033195646438168845
2,POINT (2.3029506 48.8188422),,,,,,,survey,,,,,,,,,,,,,,,,3,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2.3029506 48.8188422),52.565,733.0,6.0,1.0,0.0,19.0,527.0,0.0,2730.196464726819,51.230831146240234,2777.2643597380734,55.08000183105469,1885.573708728969,52.418033599853516,,,1537.9374737657993,53.47447204589844,1522.858808457003,55.194297790527344,2105.945409144082,59.777496337890625,1554.027125829016,52.76384735107422,,,39751.296875,6.151421553850884,0.003264366986196716
3,POINT (2.3033043 48.8187573),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2.3033043 48.8187573),52.565,738.0,6.0,1.0,0.0,18.0,532.0,0.0,2719.2338209353065,51.230831146240234,2777.169572205018,55.08000183105469,1885.436741691617,52.44973373413086,,,1505.9791841031272,53.90721893310547,1516.6384731729634,55.37938690185547,2093.866032620291,59.777496337890625,1578.0179117454652,53.9849967956543,,,40153.78125,6.230627654356773,0.0032937247861817534
4,POINT (2.4567122 48.8460224),,Vincennes,,Les Estudines Les Académies de Vincennes,Les Estudines,,,,,,,,,,,,,94300,,,,,25,,,Avenue des Murs du Parc,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2.4567122 48.8460224),35.4,564.0,4.0,0.0,2.0,74.0,401.0,0.0,2657.4306836258165,32.16999816894531,,,1775.241076478211,31.967729568481445,1971.36588182955,25.360000610351562,1934.9032265359178,17.482837677001953,1460.6054710524525,32.279327392578125,321.4308173076214,32.85499954223633,1620.1005718126733,30.461999893188477,,,17149.953125,2.743757361564789,0.002808150658358461
5,POINT (2.2595465 48.8182078),,,,Capricorne,,,,,,,,,,,,,,,,,,,50,,,Rue d'Erevan,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2.2595465 48.8182078),55.645,378.0,2.0,3.0,0.0,57.0,179.0,0.0,1535.5667653181208,48.55999755859375,2527.0342759684527,61.94000244140625,1504.5568526440989,48.12733459472656,,,1425.6283342889483,50.8571891784668,2133.4177956539893,54.461814880371094,1705.9690486327108,55.15125274658203,2407.543734168652,41.562171936035156,,,19073.244140625,2.4493082834026807,0.0037957269398217913
6,POINT (2.2599301 48.8179323),,,,Centaure,,,,,,,,,,,,,,,,,,,48,,,Rue d'Erevan,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2.2599301 48.8179323),45.27,383.0,2.0,3.0,0.0,58.0,176.0,0.0,1574.2615304835392,48.55999755859375,2560.705866793914,61.94000244140625,1511.1001651813153,48.12733459472656,,,1477.9913150474417,50.74982833862305,2146.8448568531526,54.254146575927734,1732.5463910458068,55.15125274658203,2388.232357150345,41.44904327392578,,,19088.91796875,2.4121353209852687,0.003798123862916381
7,POINT (2.2605282 48.817436),,,,Dauphin,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2.2605282 48.817436),45.27,380.0,2.0,3.0,0.0,59.0,171.0,0.0,1647.0090293212547,48.55999755859375,2622.579127664558,61.94000244140625,1557.3725741700043,47.81706619262695,,,1552.1640917270454,50.687957763671875,2168.544397256448,53.772254943847656,1780.2718810613794,55.15125274658203,2425.2501607541685,41.69428253173828,,,18803.00390625,2.3322771620736877,0.003734976653024115
8,POINT (2.2604719 48.8172294),,,,Bélier,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2.2604719 48.8172294),45.27,378.0,2.0,3.0,0.0,59.0,169.0,0.0,1672.6709112157946,48.55999755859375,2648.1727398651024,61.94000244140625,1566.9074980019445,47.81706619262695,,,1574.9232531708683,50.687957763671875,2181.352048439284,53.73807907104492,1788.5794730525124,55.15125274658203,2423.8680919664175,41.69428253173828,,,18689.68359375,2.3000065938066183,0.0037054815273834083
9,POINT (2.2603753 48.8171093),,,,Verseau,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2.2603753 48.8171093),45.27,380.0,2.0,3.0,0.0,59.0,171.0,0.0,1686.5030249629672,48.55999755859375,2663.017643466375,61.94000244140625,1573.2622273225247,47.81706619262695,,,1593.2082668990263,50.64609909057617,2197.736748976582,53.802547454833984,1790.90568760952,55.15125274658203,2423.0264751018467,41.69428253173828,,,18805.71484375,2.2901165674192008,0.0036864471827601163
